date,corrected,state
2020-05-25,0.20365714285714284,Hawaii
2020-05-25,0.23194285714285715,Idaho
2020-05-25,0.38468571428571424,Illinois
2020-05-25,0.30548571428571425,Indiana
2020-05-25,0.24325714285714284,Iowa
2020-05-25,0.2149714285714286,Kansas
2020-05-25,0.2772,Kentucky
2020-05-25,0.1866857142857143,Louisiana
2020-05-25,0.20931428571428567,Maine
2020-05-25,0.2376,Maryland
2020-05-25,0.3111428571428571,Massachusetts
2020-05-25,0.3281142857142857,Michigan
2020-05-25,0.5657142857142857,Minnesota
2020-05-25,0.13577142857142857,Mississippi
2020-05-25,0.27154285714285714,Missouri
2020-05-25,0.16405714285714285,Montana
2020-05-25,0.38468571428571424,Nebraska
2020-05-25,0.3903428571428571,Nevada
2020-05-25,0.20365714285714284,New Hampshire
2020-05-25,0.24325714285714284,New Jersey
2020-05-25,0.25457142857142856,New Mexico
2020-05-25,0.28851428571428567,New York
2020-05-25,0.3168,North Carolina
2020-05-25,0.3677142857142857,North Dakota
2020-05-25,0.33377142857142855,Ohio
2020-05-25,0.3281142857142857,Oklahoma
2020-05-25,0.3677142857142857,Oregon
2020-05-25,0.3111428571428571,Pennsylvania
2020-05-25,0.22062857142857142,Rhode Island
2020-05-25,0.2941714285714286,South Carolina
2020-05-25,0.2489142857142857,South Dakota
2020-05-25,0.28851428571428567,Tennessee
2020-05-25,0.25457142857142856,Texas
2020-05-25,0.29982857142857144,Utah
2020-05-25,0.1866857142857143,Vermont
2020-05-25,0.28851428571428567,Virginia
2020-05-25,0.48085714285714287,Washington
2020-05-25,0.1584,West Virginia
2020-05-25,0.3564,Wisconsin
2020-05-25,0.1470857142857143,Wyoming
2020-06-01,0.35,Alabama
2020-06-01,0.29,Alaska
2020-06-01,0.41,Arizona
2020-06-01,0.4,Arkansas
2020-06-01,0.8,California
2020-06-01,0.43,Colorado
2020-06-01,0.47,Connecticut
2020-06-01,0.55,Delaware
2020-06-01,0.38,Florida
2020-06-01,0.38,Georgia
2020-06-01,0.37,Hawaii
2020-06-01,0.4,Idaho
2020-06-01,0.55,Illinois
2020-06-01,0.36,Indiana
2020-06-01,0.36,Iowa
2020-06-01,0.33,Kansas
2020-06-01,0.33,Kentucky
2020-06-01,0.29,Louisiana
2020-06-01,0.45,Maine
2020-06-01,0.5,Maryland
2020-06-01,0.68,Massachusetts
2020-06-01,0.45,Michigan
2020-06-01,0.33,Minnesota
2020-06-01,0.21,Mississippi
2020-06-01,0.44,Missouri
2020-06-01,0.34,Montana
2020-06-01,0.38,Nebraska
2020-06-01,0.51,Nevada
2020-06-01,0.43,New Hampshire
2020-06-01,0.53,New Jersey
2020-06-01,0.29,New Mexico
2020-06-01,0.49,New York
2020-06-01,0.41,North Carolina
2020-06-01,0.29,North Dakota
2020-06-01,0.39,Ohio
2020-06-01,0.42,Oklahoma
2020-06-01,0.68,Oregon
2020-06-01,0.47,Pennsylvania
2020-06-01,0.48,Rhode Island
2020-06-01,0.33,South Carolina
2020-06-01,0.35,South Dakota
2020-06-01,0.37,Tennessee
2020-06-01,0.36,Texas
2020-06-01,0.33,Utah
2020-06-01,0.41,Vermont
2020-06-01,0.49,Virginia
2020-06-01,0.83,Washington
2020-06-01,0.27,West Virginia
2020-06-01,0.44,Wisconsin
2020-06-01,0.37,Wyoming
2020-06-08,0.0672,Alabama
2020-06-08,0.0744,Alaska
2020-06-08,0.0912,Arizona
2020-06-08,0.0672,Arkansas
2020-06-08,0.1152,California
2020-06-08,0.0888,Colorado
2020-06-08,0.084,Connecticut
2020-06-08,0.084,Delaware
2020-06-08,0.0792,Florida
2020-06-08,0.0864,Georgia
2020-06-08,0.0888,Hawaii
2020-06-08,0.0864,Idaho
2020-06-08,0.0936,Illinois
